Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-03-02 11:45:35 AM
-0.796784997,-43.34458542,-90.71074677,7.101263523,-0.016419256,-0.293174058,-0.078284699,,,
-0.646150351,-42.41796494,-93.86949158,7.159901619,-0.191801354,-0.395659089,-0.076275066,,,
-0.36274007,-41.97898483,-95.30226898,7.162035942,-0.234265402,-0.406879067,-0.075150739,,,
-0.440763533,-42.13436127,-94.658638,7.105406284,-0.311372846,-0.432551682,-0.075063475,,,
-0.615632474,-42.56365967,-92.84169769,7.054523468,-0.411485553,-0.398028433,-0.07598443,,,
-0.700805783,-42.47802734,-92.19046021,7.072337627,-0.396840185,-0.449956447,-0.076714419,,,
-0.590913892,-42.01665497,-94.09648895,7.147181511,-0.332966506,-0.444340706,-0.075955879,,,
-0.668710113,-41.27717209,-96.67957306,7.181826115,-0.360637903,-0.442081541,-0.074284835,,,
-0.791761398,-40.85601425,-98.40594482,7.223232269,-0.348218858,-0.45030123,-0.073402397,,,
-0.93271184,-40.90216064,-97.64559174,7.253050804,-0.443035007,-0.433321506,-0.074279347,,,
-0.715677142,-41.00758743,-97.93187714,7.274981022,-0.4750081,-0.434006244,-0.074286139,,,
-0.759539664,-40.43067169,-100.3449631,7.369682789,-0.393130869,-0.396439672,-0.073443475,,,
-0.975481033,-39.91876602,-103.2602844,7.507416725,-0.410303235,-0.407012373,-0.072703816,,,
-0.716592669,-40.1895752,-103.8589935,7.65309906,-0.29191187,-0.484513819,-0.073687399,,,
-0.203190789,-40.88899231,-103.9573669,7.776004314,-0.3447918,-0.556285679,-0.074799935,,,
-0.120210953,-41.37712479,-104.1539612,7.873654842,-0.415929556,-0.609613478,-0.075596307,,,
-0.132171065,-41.93130493,-103.227417,7.829422951,-0.447186559,-0.70432049,-0.075846351,,,
-0.461048424,-42.59130478,-101.0333939,7.723490238,-0.578924477,-0.799603701,-0.076444925,,,
-0.655026197,-43.43804169,-97.03658295,7.631425381,-0.467784315,-0.683048248,-0.078644828,,,
-0.63033247,-43.18658066,-95.91848755,7.51026392,-0.480010539,-0.629023194,-0.078298398,,,
-0.594834089,-41.28889084,-100.0556259,7.448206425,-0.592535377,-0.695929229,-0.074440656,,,
-0.588247299,-40.44255066,-101.8712387,7.378060341,-0.748151004,-0.693193197,-0.072425352,,,
-0.392862409,-41.08090591,-98.55834961,7.271839142,-0.88934809,-0.669219851,-0.073782071,,,
-0.504236639,-42.23625946,-94.0734787,7.184490204,-0.786026955,-0.54775238,-0.076371048,,,
-0.40000847,-41.43471146,-95.23262787,7.152108669,-0.768123865,-0.52857852,-0.075101452,,,
-0.357256681,-39.90221786,-100.7097321,7.214193344,-0.831659317,-0.535818577,-0.071633527,,,
-1.157514095,-39.76037979,-102.5783539,7.245018482,-0.818825364,-0.481134892,-0.070629116,,,
-1.617626905,-41.23432159,-98.90891266,7.233534813,-0.657103956,-0.3419936,-0.073133296,,,
-2.000630617,-42.10264206,-96.4084549,7.214148521,-0.640195787,-0.343357265,-0.074829003,,,
-2.635104179,-41.89851761,-98.58640289,7.209597588,-0.55737865,-0.349266171,-0.073129736,,,
-3.100674868,-42.13428497,-100.1079712,7.229570389,-0.313484222,-0.302335203,-0.07221773,,,
-3.149311781,-43.12394714,-97.75196838,7.250418186,-0.013440367,-0.221606627,-0.074171582,,,
-2.671166182,-44.39619064,-94.31721497,7.214228153,0.183557734,-0.200137436,-0.076488986,,,
-2.566556215,-45.20973969,-91.87129974,7.116399765,0.198087886,-0.204709396,-0.077460532,,,
-2.420583963,-44.54823303,-93.09374237,7.094667435,0.193457797,-0.2322236,-0.076209928,,,
-2.330250263,-43.92303085,-94.74582672,7.085451603,0.220127061,-0.257601261,-0.074783786,,,
-2.076815844,-43.52418137,-94.70433044,7.05294323,0.273296624,-0.262636155,-0.074473292,,,
-2.08769846,-43.24430084,-94.09285736,6.987119198,0.364668816,-0.312134773,-0.0742577,,,
-2.009745121,-42.90377045,-94.15367126,6.912597179,0.378032774,-0.300104588,-0.073418244,,,
-1.770183802,-41.69964981,-97.522995,6.907809734,0.414153486,-0.351811558,-0.070832625,,,
-1.604912877,-40.6798172,-99.16199493,6.936578274,0.4685013,-0.408617616,-0.069951984,,,
-1.018008471,-41.10630417,-98.54469299,6.956652641,0.407591671,-0.407867551,-0.070593884,,,
-0.865713716,-41.46307373,-96.47987366,6.862576485,0.27992937,-0.400538981,-0.071129617,,,
-1.1664114,-41.82603455,-95.62680054,6.852009773,0.136461407,-0.36582458,-0.071653655,,,
-0.802001297,-41.36559296,-96.83260345,6.876176357,0.167436346,-0.383379638,-0.071010962,,,
-1.031472921,-40.75812531,-98.10748291,6.880403519,0.178855926,-0.37053898,-0.070131282,,,
