Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-02-27 11:16:52 AM
-0.228158548,-66.35233307,-28.78488159,5.961089134,-0.107588157,-0.268291116,,,,
-0.30250746,-66.67458344,-28.07929611,5.978093624,-0.016563086,-0.217129081,,,,
-0.337285608,-66.33666229,-27.59499931,5.934661388,-0.019219812,-0.23972325,,,,
-0.403162777,-65.62661743,-29.12183952,5.86316967,-0.017994979,-0.288990021,,,,
-0.338968009,-65.39871979,-29.70097542,5.847232819,-0.078149438,-0.303065747,,,,
-0.090191163,-65.23540497,-28.93050766,5.831992149,-0.000323447,-0.297976047,,,,
-0.223938003,-65.06847382,-29.4200592,5.816633701,-0.083200783,-0.288126498,,,,
-0.201125026,-64.76313019,-30.51729393,5.837424755,-0.175311327,-0.336415708,,,,
-0.184098959,-64.63607025,-31.20254898,5.881965637,-0.148512036,-0.327539504,,,,
-0.298692197,-64.51424408,-31.29136276,5.907169819,-0.221826047,-0.312252104,,,,
-0.136126429,-64.31752014,-31.90285873,5.912383556,-0.234484032,-0.338729233,,,,
-0.036675766,-64.47151947,-31.78237343,5.912128448,-0.211578801,-0.326432616,,,,
-0.041039404,-64.70353699,-30.84193993,5.928349972,-0.246577024,-0.327487767,,,,
-0.110924661,-64.65276337,-32.13690186,5.928636551,-0.25933212,-0.34763217,,,,
-0.039451659,-64.87314606,-30.83519173,5.925802231,-0.224350274,-0.316346109,,,,
-0.132615715,-65.2578125,-29.53241348,5.926751614,-0.192236722,-0.312030137,,,,
-0.184987232,-64.86297607,-31.35067749,5.904448986,-0.128164947,-0.325599581,,,,
-0.350528032,-64.61412048,-31.40830612,5.914423466,-0.259466052,-0.319287419,,,,
0.11519096,-64.91859436,-31.46058655,5.960520744,-0.151411459,-0.331909955,,,,
0.10107816,-65.10955811,-31.29431725,5.99029398,-0.138999343,-0.332104266,,,,
-0.101185054,-65.0582962,-31.4324894,5.961494923,-0.27722013,-0.340710014,,,,
-0.046444006,-64.94184875,-30.81441879,5.877244473,-0.192772865,-0.344385684,,,,
-0.006969388,-64.81983185,-31.12902069,5.830133915,-0.164607957,-0.338654876,,,,
-0.007910632,-64.75839233,-30.65423965,5.864944935,-0.179704964,-0.345908821,,,,
0.123359747,-64.48430634,-31.93298721,5.899235249,-0.175935939,-0.343547016,,,,
-0.036777161,-64.34046936,-32.74778366,5.907310963,-0.141658723,-0.341981828,,,,
-0.227198988,-64.32032776,-32.4713707,5.94586134,-0.207740501,-0.338491529,,,,
-0.105640687,-64.06715393,-32.95296097,5.949006081,-0.192099676,-0.344734669,,,,
-0.198433176,-64.12762451,-32.55811691,5.942152023,-0.217008129,-0.345618069,,,,
-0.146437868,-64.02764893,-32.96675491,5.949299812,-0.130492747,-0.3438164,,,,
-0.031776071,-63.83494186,-33.8204689,5.972868919,-0.113876589,-0.33744821,,,,
-0.119528674,-63.84075165,-34.27806473,5.98949194,-0.193565965,-0.332719564,,,,
-0.272231489,-63.68215561,-34.1325531,6.004377365,-0.16468513,-0.343409389,,,,
-0.1590911,-63.58692551,-34.30587006,6.005164623,-0.261589676,-0.363460213,,,,
0.069508217,-63.46084213,-35.61655045,6.057662964,-0.228308678,-0.357156724,,,,
-0.148007825,-63.44126892,-36.16075897,6.064468384,-0.223018214,-0.352014065,,,,
-0.211728171,-63.69421768,-34.7383461,6.033786297,-0.230869845,-0.342233449,,,,
-0.099762253,-63.94854355,-34.42052841,6.067618847,-0.206113964,-0.368114203,,,,
0.012616714,-64.34729004,-34.95240021,6.110823154,-0.192147046,-0.382248878,,,,
0.022801373,-64.60375977,-34.5316391,6.137696266,-0.180807859,-0.33909741,,,,
-0.123651594,-65.00927734,-32.9110527,6.106825829,-0.159275457,-0.337800533,,,,
-0.012083603,-65.00326538,-32.46774673,6.060909271,-0.186418235,-0.356776237,,,,
0.060891818,-64.53325653,-33.47357941,6.036278725,-0.141482458,-0.337110728,,,,
-0.268319458,-64.51544189,-33.2139473,6.009069443,-0.230103344,-0.359916687,,,,
-0.166679069,-64.17620087,-33.65831375,6.001828671,-0.21635218,-0.364369363,,,,
-0.051534284,-64.04016113,-33.89046097,5.984535694,-0.113411024,-0.314799845,,,,
-0.239638925,-63.71796799,-33.71446609,5.962177277,-0.172376335,-0.325109988,,,,
-0.253189713,-63.43347168,-34.75535202,5.944737434,-0.136837617,-0.326407343,,,,
-0.200969175,-63.1353569,-35.81428528,5.983157158,-0.156061947,-0.359279215,,,,
-0.194714502,-63.21089935,-35.74176407,5.987308502,-0.137661904,-0.327101827,,,,
-0.282801867,-63.17494965,-35.28736496,5.957458019,-0.15157859,-0.346446931,,,,
-0.285146862,-62.92839432,-35.90011215,6.002511501,-0.233711392,-0.336519927,,,,
-0.197896674,-62.89246368,-36.913414,6.031150818,-0.126451105,-0.354498059,,,,
-0.280712008,-62.64834213,-38.10562515,6.07755518,-0.107821263,-0.329426557,,,,
-0.54928416,-62.53678131,-37.70945358,6.104550838,-0.14805834,-0.317753136,,,,
-0.344962239,-62.41176224,-38.79459763,6.105607986,-0.131214947,-0.357451469,,,,
-0.2279405,-62.47188187,-38.70556641,6.136205673,-0.103527069,-0.318637103,,,,
-0.309352905,-62.93731308,-37.29189682,6.149499893,-0.161521599,-0.369382054,,,,
-0.390093118,-62.48086548,-38.69914627,6.174416542,-0.142521143,-0.344369054,,,,
-0.404206961,-62.21714401,-39.59160614,6.175246716,-0.192406893,-0.347582847,,,,
-0.223395854,-62.06703186,-39.22491074,6.22139883,-0.162953705,-0.363378704,,,,
-0.33733207,-62.61886978,-39.20102692,6.251422405,-0.151041061,-0.356546193,,,,
-0.114625998,-63.26669312,-38.83341599,6.312418938,-0.146839216,-0.371481419,,,,
-0.128891736,-63.60216141,-37.09494781,6.269889832,-0.126330271,-0.357615709,,,,
-0.128631338,-63.36213684,-36.0891571,6.124561787,-0.184056938,-0.37937969,,,,
-0.050289162,-62.22323608,-38.76316452,6.071342945,-0.181903377,-0.368118823,,,,
-0.163231134,-61.67164612,-40.14265442,6.090342522,-0.153787479,-0.363261819,,,,
-0.426056802,-61.5511322,-40.34840775,6.133125305,-0.275414377,-0.383745879,,,,
-0.246648893,-61.45887375,-39.97011566,6.118307114,-0.206043899,-0.405375451,,,,
-0.350520372,-61.31215286,-40.67184067,6.137254715,-0.223981887,-0.36752215,,,,
-0.200999677,-60.95968246,-42.03218842,6.197376251,-0.155723721,-0.394426942,,,,
